School Type,India/ State/ UTs,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Senior Secondary School,Manipur,95,147,112,118,102,103,103,120,120,123
Senior Secondary School,Meghalaya,69,128,80,80,80,98,98,98,124,125
Senior Secondary School,Mizoram,33,49,71,67,76,80,82,86,95,98
Senior Secondary School,Nagaland,23,52,52,43,51,51,69,69,69,69
Senior Secondary School,Odisha,1031,993,744,1520,1529,2000,1088,2000,1144,1293
Senior Secondary School,Puducherry,68,75,77,80,89,94,98,98,108,121
Senior Secondary School,Punjab,1674,1921,1695,1697,1720,1719,1780,2473,2380,2733
Senior Secondary School,Rajasthan,2312,2915,3159,3388,3830,4631,5358,5996,6675,7616
Senior Secondary School,Sikkim,33,44,41,50,50,51,53,55,59,59
Senior Secondary School,Tamil Nadu,3608,4065,4136,4230,4536,4736,4582,5030,3518,3660
Senior Secondary School,Tripura,234,240,242,243,248,289,290,301,316,336
Senior Secondary School,Uttar Pradesh,5798,7036,7369,7561,7913,8321,8000,8275,8547,9751
Senior Secondary School,Uttarakhand,907,1068,1071,1082,1188,1302,1335,1348,1352,1633
Senior Secondary School,West Bengal,2639,2912,2868,3572,3794,3927,3954,4072,9391,4341
